screen_name,created_at,retweet_count,favorite_count
MeghanAHardin,Wed Jul 20 17:21:26 +0000 2016,131102,0
ianokearney,Fri Aug 19 15:15:06 +0000 2016,43259,0
Cali_Ally_,Tue Sep 13 19:12:46 +0000 2016,39202,0
TheEllenShow,Thu Sep 15 19:19:15 +0000 2016,37668,53652
LanaDelRey,Wed Feb 10 06:18:04 +0000 2016,32533,41685
theycallmeMOSH,Sun Aug 28 17:41:00 +0000 2016,29073,0
mike_pence,Sat Sep 10 20:53:21 +0000 2016,27608,0
VinceMcMahon,Wed Jul 13 01:17:09 +0000 2016,25266,47771
LanaDelRey,Fri Jul 29 05:57:52 +0000 2016,25081,48714
LanaDelRey,Wed Jun 15 23:37:27 +0000 2016,23234,33168
PaulManafort,Thu Aug 11 00:13:00 +0000 2016,21206,0
TheEllenShow,Thu Sep 15 23:16:31 +0000 2016,18028,37136
LanaDelRey,Wed Jul 13 08:06:56 +0000 2016,12951,25852
AntonioBrown84,Wed Sep 14 13:39:59 +0000 2016,12070,0
realDonaldTrump,Thu Sep 08 19:52:32 +0000 2016,11633,27028
LanaDelRey,Sat Jul 30 02:04:01 +0000 2016,11255,35941
TheMasters,Sun Apr 10 21:09:02 +0000 2016,11124,9221
AntonioBrown84,Wed Sep 14 01:42:19 +0000 2016,11026,0
LanaDelRey,Wed Mar 23 20:32:46 +0000 2016,10219,26970